French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
ville,city
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
type,type
train,train
corps,body
endroit,place
yeux,eyes
dont,whose
trouve,find
premier,first
perdu,lost
première,first
pouvoir,power
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
vers,towards
minutes,minutes
demandé,request
mis,placed
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
jouer,to play
