,French,English
0,partie,part
1,chercher,search
2,seulement,only
3,police,police
4,pensais,thought
5,genre,kind
6,mois,month
7,frère,brother
8,laisser,let
9,car,because
10,mettre,to put
11,aucun,no
12,laisse,leash
13,eux,them
14,chaque,each
15,parlé,speak
16,arrivé,come
17,devrait,should
18,bébé,baby
19,longtemps,long time
20,heures,hours
21,vont,will
22,pendant,while
23,revoir,meet again
24,place,square
25,parle,speak
26,compris,understood
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
31,pourrais,could
32,affaire,case
33,donner,give
34,type,type
35,leurs,their
36,donné,given
37,yeux,eyes
38,façon,way
39,écoute,listen
40,dont,whose
41,trouve,find
42,premier,first
43,perdu,lost
44,main,hand
45,première,first
46,côté,side
47,pouvoir,power
48,sois,be
49,tiens,here
50,matin,morning
51,tellement,so much
52,enfant,child
53,point,point
54,venu,came
55,suite,after
56,pardon,sorry
57,venez,come
58,vers,towards
59,minutes,minutes
60,demandé,request
61,chambre,bedroom
62,belle,beautiful
63,droit,law
64,aimerais,would like to
65,aujourd'hui,today
66,mari,husband
67,cause,cause
68,espère,hope
69,attendez,Wait
70,parti,left
71,nouvelle,new
72,boulot,job
73,arrêter,Stop
74,dirait,would say
75,terre,Earth
76,compte,account
77,loin,far
78,croire,believe
79,chérie,sweetheart
80,gros,large
81,plutôt,rather
82,aura,will have
83,filles,girls
84,jouer,to play
85,bureau,office
